,SCA,xmid,ymid,ramid,decmid,xmin,ymin,xmax,ymax,straylight_total,mainoffender_total
15,2,766,3832,206.41537106043313,49.20892413542717,511,3577,1022,4088,0.0020649831,4492
16,2,1277,255,206.28262289185477,49.27014818219514,1022,0,1533,511,3453.94,1
17,2,1277,766,206.3031620470494,49.263384073877056,1022,511,1533,1022,0.0021116184,594
18,2,1277,1277,206.32369557775522,49.256616323518045,1022,1022,1533,1533,0.0020443075,4492
19,2,1277,1788,206.34422348100998,49.24984493391158,1022,1533,1533,2044,0.0021167959,4492
20,2,1277,2299,206.36474575385884,49.243069907852906,1022,2044,1533,2555,0.0020786133,4492
21,2,1277,2810,206.38526239335434,49.23629124813905,1022,2555,1533,3066,0.0020584064,4492
22,2,1277,3321,206.40577339655644,49.229508957568804,1022,3066,1533,3577,0.0021139428,4492
23,2,1277,3832,206.42627876053254,49.22272303894269,1022,3577,1533,4088,0.0020481918,4492
24,2,1788,255,206.29350697128237,49.28395957891624,1533,0,2044,511,0.0020596087,4492
25,2,1788,766,206.31405038825838,49.27719354319149,1533,511,2044,1022,0.0020792051,4492
26,2,1788,1277,206.3345881752048,49.27042386418613,1533,1022,2044,1533,0.0021070004,4492
27,2,1788,1788,206.35512032916026,49.26365054469568,1533,1533,2044,2044,0.0020332711,4492
28,2,1788,2299,206.37564684717066,49.256873587517376,1533,2044,2044,2555,0.0020437178,4492
29,2,1788,2810,206.39616772628943,49.25009299545021,1533,2555,2044,3066,0.0020593752,4492
30,2,1788,3321,206.4166829635773,49.243308771295005,1533,3066,2044,3577,0.0021134324,4492
31,2,1788,3832,206.43719255610245,49.236520917854286,1533,3577,2044,4088,0.002111156,594
32,2,2299,255,206.30439715013998,49.29776995388181,2044,0,2555,511,0.0020413538,4492
33,2,2299,766,206.32494482896487,49.29100198989805,2044,511,2555,1022,0.0020124326,4492
34,2,2299,1277,206.34548687221405,49.284230381394785,2044,1022,2555,1533,0.0020929256,4492
35,2,2299,1788,206.36602327692688,49.277455131169454,2044,1533,2555,2044,0.0020852587,4492
36,2,2299,2299,206.3865540401501,49.27067624202135,2044,2044,2555,2555,0.002143604,594
