SCA,SCAx,SCAy,Field X,Field Y
5,-17.92,-12.8,-0.1486,-0.1218
5,-12.8,-12.8,-0.1641,-0.1216
5,-7.68,-12.8,-0.1797,-0.1214
5,-2.56,-12.8,-0.1953,-0.1212
5,2.56,-12.8,-0.2105,-0.1211
5,7.68,-12.8,-0.2261,-0.121
5,12.8,-12.8,-0.2415,-0.1207
5,17.92,-12.8,-0.257,-0.1205
5,-17.92,-7.68,-0.1489,-0.1066
5,-12.8,-7.68,-0.1644,-0.1066
5,-7.68,-7.68,-0.1798,-0.1065
5,-2.56,-7.68,-0.1954,-0.1063
5,2.56,-7.68,-0.2109,-0.1061
5,7.68,-7.68,-0.2263,-0.106
5,12.8,-7.68,-0.2417,-0.1057
5,17.92,-7.68,-0.2573,-0.1055
5,-17.92,-2.56,-0.1489,-0.0917
5,-12.8,-2.56,-0.1644,-0.0915
5,-7.68,-2.56,-0.18,-0.0913
5,-2.56,-2.56,-0.1955,-0.0912
5,2.56,-2.56,-0.211,-0.0911
5,7.68,-2.56,-0.2264,-0.0908
5,12.8,-2.56,-0.2419,-0.0907
5,17.92,-2.56,-0.2575,-0.0904
5,-17.92,2.56,-0.149,-0.0766
5,-12.8,2.56,-0.1645,-0.0764
5,-7.68,2.56,-0.1802,-0.0762
5,-2.56,2.56,-0.1956,-0.0761
5,2.56,2.56,-0.211,-0.0759
5,7.68,2.56,-0.2267,-0.0758
5,12.8,2.56,-0.2421,-0.0755
5,17.92,2.56,-0.2576,-0.0753
5,-17.92,7.68,-0.1492,-0.0613
5,-12.8,7.68,-0.1647,-0.0612
5,-7.68,7.68,-0.1802,-0.0612
5,-2.56,7.68,-0.1958,-0.061
5,2.56,7.68,-0.2112,-0.0608
5,7.68,7.68,-0.2269,-0.0606
5,12.8,7.68,-0.2423,-0.0605
5,17.92,7.68,-0.2577,-0.0602
5,-17.92,12.8,-0.1492,-0.0462
5,-12.8,12.8,-0.1649,-0.046
5,-7.68,12.8,-0.1804,-0.046
5,-2.56,12.8,-0.196,-0.0458
5,2.56,12.8,-0.2114,-0.0456
5,7.68,12.8,-0.227,-0.0455
5,12.8,12.8,-0.2425,-0.0453
5,17.92,12.8,-0.2581,-0.0451
5,-17.92,17.92,-0.1495,-0.031
5,-12.8,17.92,-0.1651,-0.0309
5,-7.68,17.92,-0.1805,-0.0307
5,-2.56,17.92,-0.196,-0.0306
5,2.56,17.92,-0.2117,-0.0304
5,7.68,17.92,-0.2271,-0.0303
5,12.8,17.92,-0.2425,-0.0301
5,17.92,17.92,-0.2581,-0.03
6,-17.92,-17.92,-0.1486,-0.2658
6,-12.8,-17.92,-0.164,-0.2656
6,-7.68,-17.92,-0.1794,-0.2656
6,-2.56,-17.92,-0.1946,-0.2653
6,2.56,-17.92,-0.2099,-0.2649
6,7.68,-17.92,-0.2253,-0.2648
6,12.8,-17.92,-0.2405,-0.2647
6,17.92,-17.92,-0.2559,-0.2642
6,-17.92,-12.8,-0.1488,-0.2513
6,-12.8,-12.8,-0.1641,-0.2511
6,-7.68,-12.8,-0.1795,-0.2508
6,-2.56,-12.8,-0.1948,-0.2506
