,Target,ArchiveTarget,description,category,RA,DEC,WFIPA_off,V3PA_off,V3PA_ori,CAR,Region,Target_Source,RA_Source,Dec_Source,MPA_ThetaX,MPA_ThetaY,N_FRAME,N_EXP,N_FILT,Filter,MA Table,Resultant
48,SCAN_ROGUEPATH_049,SCAN_ROGUEPATH_049,Stray light test,Calibration,85.3640356511369,-53.97552921238266,100.84005127456243,160.84005127456243,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,2.0,6.1492,55,4,1,F158,IM_193_11,11
49,SCAN_ROGUEPATH_050,SCAN_ROGUEPATH_050,Stray light test,Calibration,85.59484769216431,-54.57211952966078,100.72068478940284,160.72068478940284,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,2.567,5.9027,55,4,1,F158,IM_193_11,11
50,SCAN_ROGUEPATH_051,SCAN_ROGUEPATH_051,Stray light test,Calibration,85.50799062267902,-53.089414751730025,100.6357621160468,160.6357621160468,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,1.1041,6.2326,55,4,1,F158,IM_193_11,11
51,SCAN_ROGUEPATH_052,SCAN_ROGUEPATH_052,Stray light test,Calibration,84.62404528461633,-53.06310403919412,101.32306978125251,161.3230697812525,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,1.1784,6.7592,55,4,1,F158,IM_193_11,11
52,SCAN_ROGUEPATH_053,SCAN_ROGUEPATH_053,Stray light test,Calibration,84.6301567360127,-54.05683278011797,101.42861170854141,161.4286117085414,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,2.1641,6.5565,55,4,1,F158,IM_193_11,11
53,SCAN_ROGUEPATH_054,SCAN_ROGUEPATH_054,Stray light test,Calibration,84.95462168424903,-54.655766213535316,101.23946166542967,161.23946166542967,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,2.7211,6.2505,55,4,1,F158,IM_193_11,11
54,SCAN_ROGUEPATH_055,SCAN_ROGUEPATH_055,Stray light test,Calibration,86.0143154245154,-53.096277148771456,100.24068129317004,160.24068129317004,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,1.0562,5.9322,55,4,1,F158,IM_193_11,11
55,SCAN_ROGUEPATH_056,SCAN_ROGUEPATH_056,Stray light test,Calibration,86.12806751640409,-53.927990279737664,100.23163522917517,160.23163522917517,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,1.8705,5.7158,55,4,1,F158,IM_193_11,11
56,SCAN_ROGUEPATH_057,SCAN_ROGUEPATH_057,Stray light test,Calibration,86.34325546193804,-54.4782570718511,100.11547200028943,160.11547200028943,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,2.3948,5.4927,55,4,1,F158,IM_193_11,11
57,SCAN_ROGUEPATH_058,SCAN_ROGUEPATH_058,Stray light test,Calibration,84.56377838784782,-53.547042099526536,101.4234472797921,161.4234472797921,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,1.6659,6.6978,55,4,1,F158,IM_193_11,11
58,SCAN_ROGUEPATH_059,SCAN_ROGUEPATH_059,Stray light test,Calibration,85.44113789611376,-53.52086946535593,100.73183270511649,160.7318327051165,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,1.54,6.1909,55,4,1,F158,IM_193_11,11
59,SCAN_ROGUEPATH_060,SCAN_ROGUEPATH_060,Stray light test,Calibration,86.03933741129751,-53.51443551035249,100.26116150338487,160.26116150338487,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,1.469,5.8422,55,4,1,F158,IM_193_11,11
60,SCAN_DRAGON1_061,SCAN_DRAGON1_061,Stray light test,Calibration,96.04729290884232,-52.57822934227339,92.30849862266359,152.3084986226636,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.1188,-0.0312,55,4,1,F158,IM_193_11,11
61,SCAN_DRAGON1_062,SCAN_DRAGON1_062,Stray light test,Calibration,96.0456348986157,-52.60320905601186,92.30983941731816,152.30983941731816,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0938,-0.0312,55,4,1,F158,IM_193_11,11
62,SCAN_DRAGON1_063,SCAN_DRAGON1_063,Stray light test,Calibration,96.04397497113908,-52.628188748535216,92.31118689789812,152.31118689789812,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0688,-0.0312,55,4,1,F158,IM_193_11,11
63,SCAN_DRAGON1_064,SCAN_DRAGON1_064,Stray light test,Calibration,96.04231311231389,-52.65316841954547,92.31254107639879,152.3125410763988,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0438,-0.0312,55,4,1,F158,IM_193_11,11
64,SCAN_DRAGON1_065,SCAN_DRAGON1_065,Stray light test,Calibration,96.04064930800789,-52.678148068743944,92.31390196485307,152.31390196485307,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0188,-0.0312,55,4,1,F158,IM_193_11,11
65,SCAN_DRAGON1_066,SCAN_DRAGON1_066,Stray light test,Calibration,96.04759648654812,-52.62827740806113,92.30829938540626,152.30829938540626,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0688,-0.0334,55,4,1,F158,IM_193_11,11
66,SCAN_DRAGON1_067,SCAN_DRAGON1_067,Stray light test,Calibration,96.04660879907523,-52.62825323920521,92.30908689393218,152.30908689393218,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0688,-0.0328,55,4,1,F158,IM_193_11,11
67,SCAN_DRAGON1_068,SCAN_DRAGON1_068,Stray light test,Calibration,96.04562111269132,-52.628229062088145,92.30987439861906,152.30987439861906,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0688,-0.0322,55,4,1,F158,IM_193_11,11
68,SCAN_DRAGON1_069,SCAN_DRAGON1_069,Stray light test,Calibration,96.04446881328693,-52.62820084501053,92.31079314923434,152.31079314923434,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0688,-0.0315,55,4,1,F158,IM_193_11,11
69,SCAN_DRAGON1_070,SCAN_DRAGON1_070,Stray light test,Calibration,96.04348112926371,-52.628176649994685,92.31158064560188,152.31158064560188,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0688,-0.0309,55,4,1,F158,IM_193_11,11
70,SCAN_DRAGON1_071,SCAN_DRAGON1_071,Stray light test,Calibration,96.04232883261446,-52.628148412035436,92.31249938651024,152.31249938651024,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0688,-0.0302,55,4,1,F158,IM_193_11,11
71,SCAN_DRAGON1_072,SCAN_DRAGON1_072,Stray light test,Calibration,96.04134115095367,-52.62812419912126,92.31328687455661,152.3132868745566,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0688,-0.0296,55,4,1,F158,IM_193_11,11
