ra dec mag_bp_ab mag_g_ab mag_rp_ab mag_j_ab mag_h_ab mag_ks_ab mag_w1_ab mag_w2_ab mag_w3_ab mag_w4_ab
309.39163 -47.291664 3.3177845 3.205 2.5006669 0.48322076 -0.5972501 -1.1431738 -4.645 -4.418 -4.278 -5.831
310.35797 45.280334 1.1874511 1.305 1.0307539 0.24522085 -0.4722501 -0.83017385 -4.077 -3.997 -4.404 -6.044
311.5518 33.96945 2.6946473 2.605        
318.2341 30.227081 3.4153974 3.305 2.6389658 0.7312208 -0.38325012 -0.6801739 -4.116 -3.817 -4.067 -5.587
319.6441 62.585457 2.4366841 2.605 2.2570024 1.2602209 0.75974995 0.22582613    
322.88968 -5.571156 3.0570598 3.005 2.396673 0.65422076 -0.10925012 -0.6281738 -4.253 -4.016 -4.075 -5.6
325.8769 58.780052 4.808971 4.305 2.8753157 -1.2197793 -2.63825 -3.4601738 1.0890001 -1.029 -8.187 -10.735
326.04642 9.875008 2.7435396 2.505 1.595198 -1.0107793 -2.1242502 -2.7001739 -3.476 -2.243 -5.864 -7.5889997
326.75952 -16.126566 2.8137085 3.005        
328.4819 -37.364822 2.8849359 3.105 2.859737 2.1572208 1.6527499 1.2578262 -0.07000005 -0.35800004 -1.8140001 -3.2779999
331.44595 -0.31982657 3.1491315 3.105 2.4009256 0.38422078 -0.6342501 -1.2501739 -4.044 -3.919 -4.306 -5.791
332.05783 -46.960617 1.6191133 1.805 1.6296065 1.1272207 0.65274984 0.17582618    
332.7136 58.20125 3.764878 3.505 2.6852524 0.33722073 -0.9492501 -1.4971739 -4.197 -3.968 -5.213 -6.705
334.62573 -60.259495 3.1947498 3.005 2.1500587 -0.2987792 -1.57825 -2.219174 -4.075 -4.386 -5.435 -7.0
337.43936 -43.74923 4.4984584 4.205 2.9481785 -0.65177923 -2.06625 -2.7541738 -0.3260001 -2.231 -5.932 -7.732
340.66638 -46.884567 2.460394 2.205 0.89254147 -2.8667793 -4.34425 -5.1641736    
340.75055 30.221308 3.0942209 3.005 2.4078004 0.69722074 -0.29525012 -0.82217383 -4.238 -3.758 -4.225 -5.773
343.1536 -7.579679 4.125168 3.805 2.6985278 -0.4707792 -1.8042501 -2.508174 -4.075 -2.402 -5.701 -7.46
344.41177 -29.621838 1.1232653 1.305 1.0043585 0.14322074 -0.43725014 -0.89517385    
345.94305 28.082455 2.843821 2.505 1.2549067 -2.3257792 -3.5032501 -4.219174    
346.19006 15.205368 2.3994033 2.605 2.3555963 1.6412209 1.3697499 0.80682623 -1.395 -2.465 -2.552 -4.067
354.83743 77.631966 3.4276311 3.305 2.6482818 0.7672208 -0.18425006 -0.80217385    
