,SCA,xmid,ymid,ramid,decmid,xmin,ymin,xmax,ymax,straylight_total,mainoffender_total
11,4,766,1788,56.47780294733277,24.23263481306258,511,1533,1022,2044,4.397219e+06,1.0
12,4,766,2299,56.47763785693465,24.24802888288429,511,2044,1022,2555,4.4058005e+06,1.0
13,4,766,2810,56.477472726584445,24.26342295150972,511,2555,1022,3066,4.525436e+06,1.0
14,4,766,3321,56.47730755626761,24.27881701671595,511,3066,1022,3577,4.406662e+06,1.0
15,4,766,3832,56.47714234596966,24.2942110762801,511,3577,1022,4088,4.3428305e+06,1.0
16,4,1277,255,56.461199220859385,24.18655753905998,1022,0,1533,511,4.6530005e+06,1.0
17,4,1277,766,56.46103218211386,24.201951582972878,1022,511,1533,1022,4.5282135e+06,1.0
18,4,1277,1277,56.46086510295962,24.217345632316405,1022,1022,1533,1533,4.491379e+06,1.0
19,4,1277,1788,56.46069798338204,24.232739684867653,1022,1533,1533,2044,4.5525825e+06,1.0
20,4,1277,2299,56.460530823366405,24.24813373840373,1022,2044,1533,2555,4.446711e+06,1.0
21,4,1277,2810,56.46036362289808,24.263527790701737,1022,2555,1533,3066,4.537997e+06,1.0
22,4,1277,3321,56.460196381962334,24.27892183953874,1022,3066,1533,3577,4.2993165e+06,1.0
23,4,1277,3832,56.460029100544524,24.294315882691873,1022,3577,1533,4088,4.2741145e+06,1.0
24,4,1788,255,56.44410043094217,24.186660552363648,1533,0,2044,511,4.702975e+06,1.0
25,4,1788,766,56.4439313241019,24.20205457874399,1533,511,2044,1022,4.5705295e+06,1.0
26,4,1788,1277,56.44376217635288,24.21744861051312,1533,1022,2044,1533,4.5563965e+06,1.0
27,4,1788,1788,56.44359298768028,24.232842645448105,1533,1533,2044,2044,4.424304e+06,1.0
28,4,1788,2299,56.443423758069244,24.24823668132609,1533,2044,2044,2555,4.502013e+06,1.0
29,4,1788,2810,56.44325448750492,24.263630715924148,1533,2555,2044,3066,4.416513e+06,1.0
30,4,1788,3321,56.44308517597244,24.27902474701938,1533,3066,2044,3577,4.3314295e+06,1.0
31,4,1788,3832,56.442915823456936,24.29441877238888,1533,3577,2044,4088,4.31253e+06,1.0
